goos: linux
goarch: amd64
pkg: github.com/derickschaefer/reserve/tests/benchmarks
cpu: DO-Regular
BenchmarkUnmarshalRawObs_GDP          	    2367	    552380 ns/op	  57.55 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_GDP          	    2041	    545977 ns/op	  58.23 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_GDP          	    2304	    523743 ns/op	  60.70 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_GDP          	    2176	    525744 ns/op	  60.47 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_GDP          	    2397	    569459 ns/op	  55.83 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_GDP          	    2124	    662255 ns/op	  48.01 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_GDP          	    2070	    557006 ns/op	  57.08 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_GDP          	    2283	    630041 ns/op	  50.46 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_GDP          	    2258	    605158 ns/op	  52.54 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_GDP          	    2222	    565322 ns/op	  56.24 MB/s	   58336 B/op	    1292 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     745	   1608364 ns/op	  57.02 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     669	   1703648 ns/op	  53.83 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     756	   1575091 ns/op	  58.22 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     751	   1558693 ns/op	  58.84 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     789	   1777583 ns/op	  51.59 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     758	   1654226 ns/op	  55.44 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     757	   1700756 ns/op	  53.92 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     738	   1562912 ns/op	  58.68 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     775	   1899744 ns/op	  48.27 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL     	     729	   1847896 ns/op	  49.63 MB/s	  194160 B/op	    3817 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     661	   1652453 ns/op	  53.48 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     704	   1678071 ns/op	  52.66 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     682	   1952368 ns/op	  45.26 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     794	   1587787 ns/op	  55.65 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     798	   1850619 ns/op	  47.75 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     709	   1517049 ns/op	  58.25 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     793	   1752050 ns/op	  50.44 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     679	   2020384 ns/op	  43.74 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     823	   1500578 ns/op	  58.89 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkUnmarshalRawObs_UNRATE       	     813	   1492033 ns/op	  59.23 MB/s	  191376 B/op	    3769 allocs/op
BenchmarkMarshalSeriesData_GDP        	    7742	    198395 ns/op	 192.50 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP        	    7441	    170363 ns/op	 224.18 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP        	    7514	    154921 ns/op	 246.53 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP        	    7088	    159901 ns/op	 238.85 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP        	    7468	    168904 ns/op	 226.12 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP        	    7153	    161922 ns/op	 235.87 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP        	    6915	    149110 ns/op	 256.13 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP        	    6114	    173732 ns/op	 219.83 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP        	    8247	    154239 ns/op	 247.62 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP        	    7653	    151739 ns/op	 251.70 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL   	    2596	    567806 ns/op	 191.35 MB/s	  114692 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL   	    2704	    438898 ns/op	 247.55 MB/s	  114692 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL   	    2660	    451852 ns/op	 240.45 MB/s	  114692 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL   	    2071	    487736 ns/op	 222.76 MB/s	  114692 B/op	       1 allocs/op
