goos: linux
goarch: amd64
pkg: github.com/derickschaefer/reserve/tests/benchmarks
cpu: DO-Regular
BenchmarkUnmarshalRawObs_GDP            	    3890	    281285 ns/op	 113.02 MB/s	   46689 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_GDP            	    4033	    278928 ns/op	 113.98 MB/s	   46689 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_GDP            	    4185	    297889 ns/op	 106.72 MB/s	   46689 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_GDP            	    4282	    278438 ns/op	 114.18 MB/s	   46690 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_GDP            	    4191	    324337 ns/op	  98.02 MB/s	   46690 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_GDP            	    3542	    312974 ns/op	 101.58 MB/s	   46690 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_GDP            	    3758	    301902 ns/op	 105.31 MB/s	   46690 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_GDP            	    4096	    291764 ns/op	 108.96 MB/s	   46689 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_GDP            	    3777	    297510 ns/op	 106.86 MB/s	   46689 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_GDP            	    3810	    295838 ns/op	 107.46 MB/s	   46690 B/op	     573 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1399	    892493 ns/op	 102.75 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1336	    980833 ns/op	  93.50 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1418	    884200 ns/op	 103.72 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1398	   1015706 ns/op	  90.29 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1214	    882165 ns/op	 103.96 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1330	   1037650 ns/op	  88.38 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1305	    884225 ns/op	 103.72 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1377	    879906 ns/op	 104.22 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1394	    838203 ns/op	 109.41 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_CPIAUCSL       	    1287	    957097 ns/op	  95.82 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1412	    849727 ns/op	 104.00 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1477	    919630 ns/op	  96.09 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1452	    913099 ns/op	  96.78 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1332	    835182 ns/op	 105.81 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1448	    865819 ns/op	 102.06 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1393	    861242 ns/op	 102.61 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1344	    866569 ns/op	 101.97 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1340	    912822 ns/op	  96.81 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1474	    838693 ns/op	 105.36 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkUnmarshalRawObs_UNRATE         	    1478	    824988 ns/op	 107.11 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkMarshalSeriesData_GDP          	    5808	    225709 ns/op	 169.21 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP          	    5864	    235237 ns/op	 162.36 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP          	    6112	    236030 ns/op	 161.81 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP          	    3630	    276936 ns/op	 137.91 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP          	    4392	    239419 ns/op	 159.52 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP          	    5767	    227484 ns/op	 167.89 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP          	    4716	    241371 ns/op	 158.23 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP          	    5426	    234932 ns/op	 162.57 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP          	    4892	    270822 ns/op	 141.02 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_GDP          	    5139	    255325 ns/op	 149.58 MB/s	   40961 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1636	    703459 ns/op	 154.45 MB/s	  114693 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1788	    740372 ns/op	 146.75 MB/s	  114693 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1838	    688046 ns/op	 157.91 MB/s	  114693 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1690	    738072 ns/op	 147.21 MB/s	  114693 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1915	    683914 ns/op	 158.86 MB/s	  114692 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1533	    725085 ns/op	 149.84 MB/s	  114693 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1875	    696551 ns/op	 155.98 MB/s	  114967 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1825	    818030 ns/op	 132.82 MB/s	  114693 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1682	    778547 ns/op	 139.55 MB/s	  114693 B/op	       1 allocs/op
BenchmarkMarshalSeriesData_CPIAUCSL     	    1830	    712302 ns/op	 152.53 MB/s	  114974 B/op	       1 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	    1012	   1329739 ns/op	  81.71 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	     985	   1263148 ns/op	  86.01 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	     986	   1217466 ns/op	  89.24 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	     979	   1320874 ns/op	  82.25 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	     940	   1223923 ns/op	  88.77 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	     996	   1334880 ns/op	  81.39 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	     816	   1252856 ns/op	  86.72 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	     973	   1286802 ns/op	  84.43 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	    1026	   1496860 ns/op	  72.58 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_CPIAUCSL   	     963	   1713453 ns/op	  63.41 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     990	   1166908 ns/op	  88.22 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     996	   1189566 ns/op	  86.54 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     988	   1217607 ns/op	  84.55 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     970	   1205875 ns/op	  85.37 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     990	   1187136 ns/op	  86.72 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	    1030	   1167990 ns/op	  88.14 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     902	   1140004 ns/op	  90.30 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     968	   1140795 ns/op	  90.24 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     979	   1234154 ns/op	  83.41 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     963	   1227120 ns/op	  83.89 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     553	   2288797 ns/op	  11.10 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     550	   2191622 ns/op	  11.59 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     573	   2142146 ns/op	  11.86 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     572	   2106561 ns/op	  12.06 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     558	   2185763 ns/op	  11.62 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     488	   2243480 ns/op	  11.32 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     525	   2279813 ns/op	  11.14 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     598	   2252008 ns/op	  11.28 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     537	   2424210 ns/op	  10.48 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     428	   2363248 ns/op	  10.75 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     187	   6208056 ns/op	  12.14 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     181	   6700156 ns/op	  11.25 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     210	   5943736 ns/op	  12.68 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     211	   5884980 ns/op	  12.81 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     204	   6000969 ns/op	  12.56 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     208	   6889632 ns/op	  10.94 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     199	   6293815 ns/op	  11.98 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     193	   5872284 ns/op	  12.84 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     187	   6384091 ns/op	  11.81 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     218	   5607330 ns/op	  13.45 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     198	   7322854 ns/op	   9.32 MB/s	 2191964 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     189	   5729514 ns/op	  11.91 MB/s	 2191964 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     200	   6248633 ns/op	  10.92 MB/s	 2191964 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     199	   6186179 ns/op	  11.03 MB/s	 2191965 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     177	   5820464 ns/op	  11.72 MB/s	 2191963 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     196	   5561728 ns/op	  12.27 MB/s	 2191963 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     212	   5887271 ns/op	  11.59 MB/s	 2191964 B/op	   22802 allocs/op
